"subnum","Gender","Age","Game.Exp","HMD.Exp","Time.Games","Presence","Delay","Height.m","Which.First","First.Map","Second.Map","Third.Map","Fourth.Map","Fifth.Map","First.Xray","Second.Xray","Third.Xray","Fourth.Xray","Fifth.Xray","Tot.time.map","Tot.time.xray"
1,"Female",25,"Y","Y",10,4,4,"1.62","Map first",4.27,32.901,26.43,34.271,23.96,1.952,15.551,14.537,15.301,69.001,127.921,120.654
2,"Male",29,"Y","Y",56,3,5,"1.93","X-Ray first",7.22,15.85,22.006,4.625,8.723,8.116,27.1,11.625,11.635,14.535,63.505,79.444
3,"Male",24,"Y","N",0,4,1,"1.7","X-Ray first",45.706,16.595,13.07,15.871,1.662,1.539,8.226,31.541,5.355,12.204,102.249,64.015
4,"Male",30,"Y","Y",10,5,4,"1.9","Map first",4.11,12.961,20,15.34,17.49,3.174,23.595,8.47,24.335,9.562,73.531,71.887
5,"Male",35,"Y","Y",2,4,2,"1.8","X-Ray first",4.339,11.861,22.47,9.733,15.681,4.075,1.725,27.851,43.501,12.286,70.721,95.443
6,"Male",25,"Y","Y",10,5,2,"1.65","Map first",23.115,5.19,33.131,19.165,21.585,12.33,18.25,2.541,19.439,11.851,106.971,69.241
7,"Male",26,"Y","N",40,5,4,"1.74","Map first",2.451,7.749,17.075,10.306,5.404,3.32,7.67,5.96,15.755,9.44,45.425,45.473
8,"Male",27,"Y","Y",0,5,1,"1.66","X-Ray first",21.853,20.1,5.48,14.121,14.899,13.277,13.852,9.319,22.98,12.535,88.691,76.016
9,"Female",25,"Y","N",0,4,3,"1.68","Map first",3.656,22.536,20.634,15.835,14.281,6.72,3.04,21.365,21.231,15.985,80.552,79.89
10,"Male",28,"Y","Y",2,5,2,"1.8","X-Ray first",13.446,23.472,13.983,5.025,13.711,1.08,11.755,40.971,20.305,43.151,75.147,123.632
11,"Male",28,"Y","Y",0,5,1,"1.63","X-Ray first",15.172,10.578,15.568,9.668,4.149,8.679,13.87,5.763,11.802,12.846,59.029,57.691
